Título,Nome da Rua,Número,Bairro,Cidade,Preço,Área,Quartos,Banheiros,Garagens
Apartamento a,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.000.000,,,,
Apartamento para,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 636.000,,,,
"Ap novo,",Avenida Osmar de Souza Nunes,,200  Pioneiros,Balneário Camboriú,R$ 2.500.000 Cond.: R$ 1.000,130,3  Quartos,4  Banheiros,3  Garagens
Apartamento para,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 750.000,--,1  Quarto,1  Banheiro,1  Garagem
Apartamento,Rua 1542  Centro,,,Balneário Camboriú,R$ 2.500.000 Cond.: R$ 704,132,3  Quartos,3  Banheiros,2  Garagens
Apartamento diamond,Avenida Atlântica,,5014  Centro,Balneário Camboriú,R$ 13.900.000 Cond.: R$ 3,284,4  Quartos,4  Banheiros,4  Garagens
Centro balneário,Rua 600  Centro,,,Balneário Camboriú,R$ 1.950.000,,,,
Apartamento,Rua Quatro Mil,,100  Barra Sul,Balneário Camboriú,R$ 3.120.000 Cond.: R$ 0,136,3  Quartos,3  Banheiros,2  Garagens
Apartamento para,Rua 3900,,114  Centro,Balneário Camboriú,R$ 2.537.444,117,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Rua 3130,,149  Centro,Balneário Camboriú,R$ 1.750.000 Cond.: R$ 900,189,3  Quartos,4  Banheiros,3  Garagens
Apartamento,Rua 1201,,400  Centro,Balneário Camboriú,R$ 3.510.000,238,5  Quartos,6  Banheiros,4  Garagens
Prédio,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 20.500.000,,,,
Barbada na,Avenida Brasil,,2600  Centro,Balneário Camboriú,R$ 450.000 Cond.: R$ 190,,,,
La città,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.490.000,,,,
Apartamento quadra-mar,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.950.000,145,4  Quartos,4  Banheiros,2  Garagens
Apartamento 3,Rua 620  Centro,,,Balneário Camboriú,R$ 2.530.000,128,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.810.000 Cond.: R$ 800,178,3  Quartos,3  Banheiros,2  Garagens
Casa perto,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 2.500.000,250,5  Quartos,5  Banheiros,2  Garagens
Apartamento,Avenida Atlântica  Centro,,,Balneário Camboriú,R$ 10.966.000,200,4  Quartos,5  Banheiros,4  Garagens
Apartamento,Avenida Atlântica  Frente do Mar,,,Balneário Camboriú,R$ 5.500.000 Cond.: R$ 3.472,157,3  Quartos,4  Banheiros,2  Garagens
Apartamento frente,Avenida Atlântica,,4950  Centro,Balneário Camboriú,R$ 13.500.000,196,4  Quartos,5  Banheiros,3  Garagens
Lindo apartamento,Avenida Brasil,,2700  Centro,Balneário Camboriú,R$ 3.274.152 Cond.: R$ 842,90,3  Quartos,2  Banheiros,2  Garagens
Sobrado para,Endereço não disponível  Ariribá,,,Balneário Camboriú,R$ 1.500.000,258,5  Quartos,4  Banheiros,3  Garagens
Apartamento lateral,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 860.000,,,,
Magnifico sobrado,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 7.900.000,447,5  Quartos,6  Banheiros,3  Garagens
Box,Avenida Brasil,,3700  Centro,Balneário Camboriú,R$ 108.000 Cond.: R$ 201,,,,
Haras rio,Avenida das Arapongas  Ariribá,,,Balneário Camboriú,R$ 4.990.000,473,4  Quartos,6  Banheiros,3  Garagens
Casa em,Rua Julieta Lins  Pioneiros,,,Balneário Camboriú,R$ 12.000.000,283,2  Quartos,5  Banheiros,3  Garagens
Apartamento,Avenida Atlântica,,5720  Centro,Balneário Camboriú,R$ 9.800.000,464,4  Quartos,2  Banheiros,4  Garagens
Apartamento mobiliado,Rua 2300,,2670  Centro,Balneário Camboriú,R$ 25.600.000,316,4  Quartos,4  Banheiros,4  Garagens
Apartamento alto,Rua 3706,,100  Centro,Balneário Camboriú,R$ 4.799.000 Cond.: R$ 1.900,144,4  Quartos,4  Banheiros,3  Garagens
Apartamento para,Rua Áustria,,144  Nações,Balneário Camboriú,R$ 944.000,--,2  Quartos,2  Banheiros,1  Garagem
Apartamento,Avenida Brasil,,3540  Centro,Balneário Camboriú,R$ 850.000 Cond.: R$ 550,85,2  Quartos,1  Banheiro,1  Garagem
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.180.000 Cond.: R$ 1.300,149,4  Quartos,3  Banheiros,2  Garagens
Apartamento totalmente,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.500.000,121,3  Quartos,1  Banheiro,3  Garagens
Apartamento,Avenida Atlantica  Barra Sul,,,Balneário Camboriú,R$ 9.500.000,237,4  Quartos,5  Banheiros,4  Garagens
Apartamento 4,Rua 57,,16  Centro,Balneário Camboriú,R$ 5.200.000,170,4  Quartos,5  Banheiros,4  Garagens
Casa em,Rua Zâmbia,,17  Nações,Balneário Camboriú,R$ 2.000.000,257,4  Quartos,4  Banheiros,2  Garagens
Cobertura vista,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.400.000,249,4  Quartos,4  Banheiros,2  Garagens
Apartamento em,Rua 4600  Centro,,,Balneário Camboriú,R$ 9.100.000,194,4  Quartos,4  Banheiros,3  Garagens
Apartamento mobiliado,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.400.000,295,3  Quartos,4  Banheiros,2  Garagens
Apartamento revenda,Avenida Normando Tedesco  Centro,,,Balneário Camboriú,R$ 6.700.000 Cond.: R$ 1,,,,
Investimento kit,Avenida do Estado Dalmo Vieira  Nações,,,Balneário Camboriú,R$ 449.000 Cond.: R$ 250,31,1  Quarto,1  Banheiro,1  Garagem
Belíssimo apartamento,Avenida Atlântica,,5020  Barra Sul,Balneário Camboriú,R$ 5.500.000 Cond.: R$ 700,140,4  Quartos,3  Banheiros,1  Garagem
Apartamento,Avenida Atlântica,,2700  Centro,Balneário Camboriú,R$ 3.392.000 Cond.: R$ 850,80,2  Quartos,2  Banheiros,2  Garagens
Apartamento 2,Rodovia BR-101  Centro,,,Balneário Camboriú,R$ 999.000,57,2  Quartos,2  Banheiros,1  Garagem
Apartamento,Rua 951  Centro,,,Balneário Camboriú,R$ 2.800.000,128,3  Quartos,1  Banheiro,3  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 5.200.000 Cond.: R$ 1.156,165,4  Quartos,5  Banheiros,2  Garagens
Apartamento infinity,Rua Julieta Lins,,114  Barra Norte,Balneário Camboriú,R$ 7.400.000,380,3  Quartos,5  Banheiros,3  Garagens
Apartamento novo.,Rua 2850,,100  Centro,Balneário Camboriú,R$ 4.100.000 Cond.: R$ 1.700,140,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Endereço não disponível  Nações,,,Balneário Camboriú,R$ 750.000 Cond.: R$ 200,,,,
Casa,Rua Síria,,581  Nações,Balneário Camboriú,R$ 1.450.000,,,,
Apartamento duplex,Rua Bruno Silva,,135  Pioneiros,Balneário Camboriú,R$ 3.170.000,300,4  Quartos,2  Banheiros,3  Garagens
Ap. vista,Rua 1926,,236  Centro,Balneário Camboriú,R$ 3.200.000 Cond.: R$ 800,135,3  Quartos,2  Banheiros,2  Garagens
Apartamento,Rua 2970,,70  Centro,Balneário Camboriú,R$ 2.500.000,249,3  Quartos,4  Banheiros,4  Garagens
Apartamento 3,Avenida Brasil,,3551  Centro,Balneário Camboriú,R$ 4.080.000 Cond.: R$ 1.554,66,3  Quartos,5  Banheiros,4  Garagens
Terreno,Avenida Hermógenes de Assis Feijó,,621  Barra,Balneário Camboriú,R$ 1.450.000,,,,
Casa,Rua Agrolândia  Jardim Iate Clube,,,Balneário Camboriú,R$ 955.000,252,2  Quartos,2  Banheiros,3  Garagens
Apto bem,Rua Paraguai,,1010  Centro,Balneário Camboriú,R$ 688.000 Cond.: R$ 550,,,,
Casa,Rua Suíça,,0  Nações,Balneário Camboriú,R$ 870.000,261,3  Quartos,1  Banheiro,1  Garagem
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.800.000,127,3  Quartos,3  Banheiros,2  Garagens
Apartamento no,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 7.500.000 Cond.: R$ 2.700,290,4  Quartos,5  Banheiros,1  Garagem
Royal garden,Rua 3550,,381  Centro,Balneário Camboriú,R$ 1.248.000,,,,
Comercial para,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.900.000,,,,
Casa praia,Endereço não disponível  Praia dos Amores,,,Balneário Camboriú,R$ 2.700.000,200,3  Quartos,4  Banheiros,4  Garagens
Apartamento,Rua Bruno Silva,,51  Pioneiros,Balneário Camboriú,R$ 3.650.500,146,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Rua 1822,,145  Centro,Balneário Camboriú,R$ 1.800.000 Cond.: R$ 850,172,3  Quartos,1  Banheiro,3  Garagens
Apartamento para,Rua 3000,,505  Centro,Balneário Camboriú,R$ 1.800.000,105,3  Quartos,1  Banheiro,2  Garagens
Excelente apartamento,Rua 1201,,493  Centro,Balneário Camboriú,R$ 3.401.562 Cond.: R$ 2.000,175,3  Quartos,4  Banheiros,3  Garagens
Apartamento,Rua 620  Centro,,,Balneário Camboriú,R$ 2.600.000 Cond.: R$ 750,125,3  Quartos,3  Banheiros,3  Garagens
Excelente apartamento,Rua 1201,,493  Centro,Balneário Camboriú,R$ 3.151.325 Cond.: R$ 2.000,173,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Rua 2028,,125  Centro,Balneário Camboriú,R$ 2.240.000 Cond.: R$ 1.400,143,4  Quartos,4  Banheiros,2  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.614.700 Cond.: R$ 970,133,3  Quartos,4  Banheiros,2  Garagens
Sobrado em,Endereço não disponível  Ariribá,,,Balneário Camboriú,R$ 750.000,80,2  Quartos,1  Banheiro,1  Garagem
Apartamento,Rua 1131  Centro,,,Balneário Camboriú,R$ 2.900.000,158,3  Quartos,2  Banheiros,2  Garagens
Apartamento,Rua 2070,,11  Centro,Balneário Camboriú,R$ 3.675.000,167,4  Quartos,1  Banheiro,3  Garagens
Apartamento,Rua 2550  Centro,,,Balneário Camboriú,R$ 1.200.000 Cond.: R$ 600,110,3  Quartos,2  Banheiros,1  Garagem
Apartamento amplo,Rua Miguel Matte,,252  Pioneiros,Balneário Camboriú,R$ 1.700.000 Cond.: R$ 780,119,3  Quartos,3  Banheiros,2  Garagens
Sobrado,Rua José Damásio Duarte  Barra,,,Balneário Camboriú,R$ 1.290.000,170,2  Quartos,1  Banheiro,1  Garagem
Apartamento,Rua 990,,283  Centro,Balneário Camboriú,R$ 800.000 Cond.: R$ 600,75,2  Quartos,2  Banheiros,1  Garagem
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.800.000 Cond.: R$ 990,12.743,3  Quartos,4  Banheiros,3  Garagens
04 suítes,Avenida Atlântica - De 5021/5022 A 5552/5553,,5720  Barra Sul,Balneário Camboriú,R$ 11.000.000,238,4  Quartos,4  Banheiros,4  Garagens
Cobertura duplex,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 5.800.000,428,4  Quartos,5  Banheiros,4  Garagens
Apartamento,Rua 3700,,425  Centro,Balneário Camboriú,R$ 4.200.000 Cond.: R$ 1.546,271,3  Quartos,4  Banheiros,3  Garagens
Apartamento,Rua 2000,,1950  Centro,Balneário Camboriú,R$ 1.400.000 Cond.: R$ 927,209,4  Quartos,3  Banheiros,1  Garagem
Apto -,Rua 57,,16  Centro,Balneário Camboriú,R$ 5.213.000,170,4  Quartos,4  Banheiros,4  Garagens
Chácara /,Rodovia BR-101,,139  Nova Esperança,Balneário Camboriú,R$ 20.000.000,,,,
Casa em,Endereço não disponível  Barra,,,Balneário Camboriú,R$ 1.680.000 Cond.: R$ 600,,,,
Apartamento residencial,Avenida Santo Amaro,,1810  São Francisco de Assis,Balneário Camboriú,R$ 800.000,78,2  Quartos,1  Banheiro,1  Garagem
Apartamento,Rua Isidoro Caetano,,190  Pioneiros,Balneário Camboriú,R$ 2.200.000 Cond.: R$ 1.500,,,,
Apartamento,Rua 3130,,112  Centro,Balneário Camboriú,R$ 2.890.000,143,4  Quartos,3  Banheiros,3  Garagens
Apto 2,Rua Amara Pereira Corrêa,,315  Barra,Balneário Camboriú,R$ 370.000 Cond.: R$ 375,53,2  Quartos,1  Banheiro,1  Garagem
Apartamento,Rua 902,,295  Centro,Balneário Camboriú,R$ 1.690.000 Cond.: R$ 700,220,3  Quartos,4  Banheiros,2  Garagens
Apartamento próximo,Rua 3250,,300  Centro,Balneário Camboriú,R$ 1.100.000 Cond.: R$ 480,90,3  Quartos,2  Banheiros,2  Garagens
Apartamento vista,Endereço não disponível  Barra Norte,,,Balneário Camboriú,R$ 1.000.000 Cond.: R$ 1.500,120,2  Quartos,1  Banheiro,1  Garagem
Lindo sobrado,Rua Mário Quintana,,150  Praia dos Amores,Balneário Camboriú,R$ 2.250.000,200,3  Quartos,3  Banheiros,1  Garagem
Casa,Avenida Das Gaivotas Esquina Rua Inhambuguaçu  Ariribá,,,Balneário Camboriú,R$ 2.200.000,,,,
Apartamento para,Avenida Alvin Bauer,,250  Centro,Balneário Camboriú,R$ 2.600.000,158,2  Quartos,3  Banheiros,2  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 10.500.000 Cond.: R$ 3.000,375,4  Quartos,6  Banheiros,4  Garagens
Apartamento,Avenida Brasil,,240  Centro,Balneário Camboriú,R$ 4.509.000,284,4  Quartos,4  Banheiros,3  Garagens
Sobrado 3,Endereço não disponível  Barra,,,Balneário Camboriú,R$ 1.400.000,144,3  Quartos,3  Banheiros,1  Garagem
Excelente ap,Rua 1111,,120  Centro,Balneário Camboriú,R$ 1.300.000 Cond.: R$ 500,114,3  Quartos,2  Banheiros,1  Garagem
Apartamento,Avenida Brasil,,3605  Centro,Balneário Camboriú,R$ 3.600.000 Cond.: R$ 250,193,3  Quartos,2  Banheiros,2  Garagens
Prédio,Rua 2050,,279  Centro,Balneário Camboriú,R$ Confira,,,,
Apartamento,Rua 3450  Centro,,,Balneário Camboriú,R$ 2.290.000,,,,
Apartamento,Rua Oscar Aparício Cardoso Da Silva  Barra,,,Balneário Camboriú,R$ 526.000,85,2  Quartos,3  Banheiros,1  Garagem
Apartamento para,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 15.900.000,282,4  Quartos,5  Banheiros,3  Garagens
Sala comercial,Rua Julieta Lins,,32  Pioneiros,Balneário Camboriú,R$ 1.800.000 Cond.: R$ 303,114,1  Sala,2  Banheiros,2  Garagens
Apartamento,Avenida Atlântica,,4950  Centro,Balneário Camboriú,R$ 11.100.000,196,3  Quartos,5  Banheiros,3  Garagens
Emicrei vende,Rua 1061  Centro,,,Balneário Camboriú,R$ 2.500.000 Cond.: R$ 750,205,2  Quartos,3  Banheiros,2  Garagens
Apartamento,Rua 4400,,101  Centro,Balneário Camboriú,R$ 2.700.000,,,,
Excelente apartamento,Rua 1201,,493  Centro,Balneário Camboriú,R$ 3.759.590 Cond.: R$ 2.000,173,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Rua 3618,,29  Centro,Balneário Camboriú,R$ 3.650.000,,,,
3 suítes,Endereço não disponível  Ariribá,,,Balneário Camboriú,R$ 1.300.000,157,3  Quartos,3  Banheiros,2  Garagens
Apartamento residencial,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 5.500.000 Cond.: R$ 1.874,,,,
Cobertura mirante,Rua 3900,,--  Centro,Balneário Camboriú,R$ 8.200.000 Cond.: R$ 1.117,300,4  Quartos,5  Banheiros,8  Garagens
Apartamento garden,Rua 1800,,97  Centro,Balneário Camboriú,R$ 6.690.000,375,5  Quartos,5  Banheiros,2  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.800.000,179,3  Quartos,5  Banheiros,2  Garagens
Sala comercial,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 1.927.860,,,,
Apartamento,Rua 4400,,4400  Barra Sul,Balneário Camboriú,R$ 5.999.000 Cond.: R$ 0,160,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.750.000,127,3  Quartos,3  Banheiros,3  Garagens
Apartamento,Avenida Atlântica  Frente do Mar,,,Balneário Camboriú,R$ 14.120.000,,,,
Apartamento,Rua 2000  Centro,,,Balneário Camboriú,R$ 2.980.000,143,2  Quartos,3  Banheiros,3  Garagens
Apartamento nações,Endereço não disponível  Nações,,,Balneário Camboriú,R$ 620.000 Cond.: R$ 200,80,2  Quartos,1  Banheiro,1  Garagem
Sala comercial,Avenida Central,,541  Centro,Balneário Camboriú,R$ 13.000.000,,,,
Via marina,Endereço não disponível  Barra Sul,,,Balneário Camboriú,R$ 4.628.013 Cond.: R$ 1.000,210,3  Quartos,3  Banheiros,3  Garagens
Apartamento,Avenida 3ª Avenida,,100  Centro,Balneário Camboriú,R$ 1.900.000,259,3  Quartos,1  Banheiro,2  Garagens
Apartamento diferenciado,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.210.000,458,4  Quartos,5  Banheiros,2  Garagens
Apartamento 3,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 7.000.000 Cond.: R$ 3.380,650,3  Quartos,6  Banheiros,2  Garagens
Condomínio vila,Rua Aqueduto,,325  Estados,Balneário Camboriú,R$ 8.000.000 Cond.: R$ 2.000,516,7  Quartos,7  Banheiros,4  Garagens
Apartamento,Avenida Brasil,,240  Centro,Balneário Camboriú,R$ 6.500.000,146,4  Quartos,4  Banheiros,3  Garagens
Apartamento,Rua 201,,40  Centro,Balneário Camboriú,R$ 1.150.000,99,2  Quartos,2  Banheiros,1  Garagem
Triplex av.,Avenida Atlântica,,2100  Centro,Balneário Camboriú,R$ 3.500.000 Cond.: R$ 1.800,216,3  Quartos,4  Banheiros,2  Garagens
Yachthouse residence,Avenida Normando Tedesco,,1000  Centro,Balneário Camboriú,R$ 14.500.000,265,4  Quartos,6  Banheiros,3  Garagens
Apartamento alto,Avenida Brasil,,3605  Centro,Balneário Camboriú,R$ 4.390.000 Cond.: R$ 1.200,138,3  Quartos,3  Banheiros,2  Garagens
Belíssimo duplex,Rua 1111  Centro,,,Balneário Camboriú,R$ 1.290.000 Cond.: R$ 700,140,4  Quartos,4  Banheiros,1  Garagem
Apartamento para,Rua 3700  Centro,,,Balneário Camboriú,R$ 7.750.000,240,3  Quartos,5  Banheiros,4  Garagens
"Camboriú, ed.",Avenida Santo Amaro,,1810  São Francisco de Assis,Balneário Camboriú,R$ 648.000 Cond.: R$ 0,75,2  Quartos,3  Banheiros,3  Garagens
Apartamento 4,Endereço não disponível  Centro,,,Balneário Camboriú,R$ Confira Cond.: R$ 1.200,137,4  Quartos,3  Banheiros,4  Garagens
Apartamento,Avenida Atlântica,,4950  Centro,Balneário Camboriú,R$ 13.500.000,212,4  Quartos,4  Banheiros,4  Garagens
Excelente apartamento,Rua 1201,,493  Centro,Balneário Camboriú,R$ 3.099.188 Cond.: R$ 2.000,173,4  Quartos,5  Banheiros,3  Garagens
Apartamento 4,Rua 1451,,1  Centro,Balneário Camboriú,R$ 3.200.000,163,4  Quartos,4  Banheiros,3  Garagens
Terreno a,Rua Emanuel Rebelo dos Santos,,438  Barra,Balneário Camboriú,R$ 900.000,,,,
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.194.125,,,,
Apartamento,Endereço não disponível  Pioneiros,,,Balneário Camboriú,R$ 650.000 Cond.: R$ 550,58,1  Quarto,1  Banheiro,1  Garagem
Casa,Rua 3122  Centro,,,Balneário Camboriú,R$ 4.990.000,470,6  Quartos,7  Banheiros,6  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.800.000,105,3  Quartos,3  Banheiros,2  Garagens
Residence florence,Rua 3160  Centro,,,Balneário Camboriú,R$ 2.250.000,150,3  Quartos,4  Banheiros,2  Garagens
Apartamento,Rua 2950  Centro,,,Balneário Camboriú,R$ 3.500.000,176,4  Quartos,5  Banheiros,3  Garagens
Apartamento,Rua 1822,,145  Centro,Balneário Camboriú,R$ 1.800.000 Cond.: R$ 850,136,3  Quartos,1  Banheiro,3  Garagens
Apartamento,Rua 1001  Centro,,,Balneário Camboriú,R$ 3.000.000,130,3  Quartos,4  Banheiros,3  Garagens
Apartamento a,Rua 901  Centro,,,Balneário Camboriú,R$ 4.000.000 Cond.: R$ 2.000,,,,
Apartamento no,Rua Francisco Manoel de Souza,,82  Pioneiros,Balneário Camboriú,R$ 2.500.000 Cond.: R$ 900,136,4  Quartos,4  Banheiros,2  Garagens
Apartamento na,Avenida do Estado Dalmo Vieira,,195  Praia dos Amores,Balneário Camboriú,R$ 861.579,--,2  Quartos,2  Banheiros,1  Garagem
Apartamento em,Rua 620,,285  Centro,Balneário Camboriú,R$ 2.220.000 Cond.: R$ 670,121,3  Quartos,4  Banheiros,2  Garagens
Casa,Endereço não disponível  Ariribá,,,Balneário Camboriú,R$ 1.420.000,261,5  Quartos,4  Banheiros,3  Garagens
Lançamento: apartamento,Rua Marrocos,,540  Nações,Balneário Camboriú,R$ 795.000 Cond.: R$ 500,58,2  Quartos,2  Banheiros,1  Garagem
Mont blanc,Rua Alvin Bauer,,119  Centro,Balneário Camboriú,R$ 2.450.000,132,3  Quartos,2  Banheiros,2  Garagens
Apartamento,Rua Síria,,630  Nações,Balneário Camboriú,R$ 980.000 Cond.: R$ 460,72,2  Quartos,3  Banheiros,2  Garagens
Apartamento,Avenida Atlântica,,2700  Centro,Balneário Camboriú,R$ 3.300.000 Cond.: R$ 850,160,2  Quartos,3  Banheiros,2  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.400.000 Cond.: R$ 508,106,3  Quartos,2  Banheiros,2  Garagens
Residencial triplex,Rua João de Barro,,84  Ariribá,Balneário Camboriú,R$ 1.750.000,185,3  Quartos,4  Banheiros,2  Garagens
"Apartamentos, centro",Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.800.000,,,,
Apartamento,Avenida Atlântica  Centro,,,Balneário Camboriú,R$ 13.500.000,251,4  Quartos,6  Banheiros,4  Garagens
Apartamento alto,Rua 1931  Centro,,,Balneário Camboriú,R$ 1.100.000,147,3  Quartos,3  Banheiros,1  Garagem
"Casa ,",Rua José de Alencar,,174  Praia dos Amores,Balneário Camboriú,R$ 3.300.000,440,4  Quartos,4  Banheiros,4  Garagens
Casa,Rua Anastácio José Pereira  Municípios,,,Balneário Camboriú,R$ 1.499.000,245,3  Quartos,3  Banheiros,2  Garagens
Sua oportunidade,Rua 3750,,75  Centro,Balneário Camboriú,R$ 917.000,,,,
Casa geminada,Rua Cruz E Souza,,198  Praia dos Amores,Balneário Camboriú,R$ 2.000.000,,,,
Apartamento todo,Rua 1911,,100  Centro,Balneário Camboriú,R$ 900.000 Cond.: R$ 450,120,2  Quartos,2  Banheiros,1  Garagem
Oportunidade! casa,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.300.000,266,2  Quartos,1  Banheiro,2  Garagens
'espetacular apartamento,Avenida Atlântica  Centro,,,Balneário Camboriú,R$ 3.280.000 Cond.: R$ 1.260,126,3  Quartos,4  Banheiros,4  Garagens
Apartamento balneário,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 2.355.000 Cond.: R$ 620,97,3  Quartos,2  Banheiros,3  Garagens
Apartamento no,Avenida Atlântica,,1620  Centro,Balneário Camboriú,R$ 2.100.000 Cond.: R$ 739,120,3  Quartos,3  Banheiros,1  Garagem
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 560.000 Cond.: R$ 320,65,2  Quartos,1  Banheiro,1  Garagem
Casa em,Rua Venezuela,,85  Nações,Balneário Camboriú,R$ 800.000,252,3  Quartos,1  Banheiro,5  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.250.000 Cond.: R$ 450,,,,
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.210.000 Cond.: R$ 0,384,4  Quartos,4  Banheiros,3  Garagens
Apartamento,Rua 4500,,11  Centro,Balneário Camboriú,R$ 3.400.000,179,3  Quartos,4  Banheiros,3  Garagens
Casa em,Endereço não disponível  Santa Regina,,,Balneário Camboriú,R$ 5.970.000,,,,
Casa 3,Rua Ozória Maria Mafra,,1589  Praia do Estaleiro,Balneário Camboriú,R$ 1.500.000,180,3  Quartos,3  Banheiros,2  Garagens
Excelente apartamento,Rua 1201,,493  Centro,Balneário Camboriú,R$ 3.761.440 Cond.: R$ 2.000,175,3  Quartos,4  Banheiros,3  Garagens
Apartamento em,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 960.000 Cond.: R$ 330,112,3  Quartos,2  Banheiros,1  Garagem
Déposito para,Rua 1000,,50  Centro,Balneário Camboriú,R$ 379.000,,,,
Cobertura para,Rua 2500,,300  Centro,Balneário Camboriú,R$ 850.000 Cond.: R$ 2.000,180,3  Quartos,3  Banheiros,1  Garagem
Finamente mobiliado,Rua 620,,110  Centro,Balneário Camboriú,R$ 2.564.246,,,,
Casa,Endereço não disponível  Praia do Estaleiro,,,Balneário Camboriú,R$ 2.899.000,280,3  Quartos,3  Banheiros,4  Garagens
Apartamento,Avenida Brasil,,3030  Centro,Balneário Camboriú,R$ 635.000 Cond.: R$ 650,37,1  Quarto,1  Banheiro,1  Garagem
Apt garden,Rua 3750,,180  Centro,Balneário Camboriú,R$ 2.800.000 Cond.: R$ 1.160,187,3  Quartos,4  Banheiros,2  Garagens
Casa,Rua Aqueduto,,325  Estados,Balneário Camboriú,R$ 6.300.000,,,,
Apartamento,Rua 3000,,218  Centro,Balneário Camboriú,R$ 2.500.000,119,3  Quartos,4  Banheiros,2  Garagens
Terreno/ lote,Endereço não disponível  Nova Esperança,,,Balneário Camboriú,R$ 600.000,,,,
Casa/ sobrado,Rua Samuel Rocha,,205  São Judas Tadeu,Balneário Camboriú,R$ 980.000,270,5  Quartos,5  Banheiros,2  Garagens
Apartamento térreo,Endereço não disponível  Praia dos Amores,,,Balneário Camboriú,R$ 1.275.000 Cond.: R$ 90,80,2  Quartos,3  Banheiros,2  Garagens
Apartamento centro,Avenida Brasil  Centro,,,Balneário Camboriú,R$ 900.000 Cond.: R$ 600,85,2  Quartos,2  Banheiros,1  Garagem
Balneário camboriú,Rua Miguel Matte,,834  Pioneiros,Balneário Camboriú,R$ 500.000 Cond.: R$ 400,34,1  Quarto,1  Banheiro,1  Garagem
Apartamento a,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 1.995.000 Cond.: R$ 680,128,3  Quartos,3  Banheiros,2  Garagens
Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,R$ 3.100.000 Cond.: R$ 970,158,3  Quartos,4  Banheiros,3  Garagens
Casa/ sobrado,Rua Bruno Zabel,,176  Barra,Balneário Camboriú,R$ 710.000,114,3  Quartos,3  Banheiros,2  Garagens
Apartamento frente,Avenida Atlântica,,4104  Centro,Balneário Camboriú,R$ 3.750.000 Cond.: R$ 837,120,4  Quartos,3  Banheiros,3  Garagens
Terreno/ lote,Endereço não disponível  Barra,,,Balneário Camboriú,R$ 600.000,,,,
Ponto comercial,Rua Isidoro Caetano,,100  Pioneiros,Balneário Camboriú,R$ 480.000,,,,
Apartamento fg,Avenida Brasil,,180  Centro,Balneário Camboriú,R$ 2.650.000 Cond.: R$ 670,117,3  Quartos,4  Banheiros,2  Garagens
