,Título,Nome da Rua,Número,Bairro,Cidade,Preço,Taxa Cond,Total Mensal,Área,Quartos,Banheiros,Garagens
252,Apartamento novo.,Rua 2850,100,Centro,Balneário Camboriú,4100.0,1700.0,5800.0,140.0,4,5,3
253,Apartamento,Endereço não disponível  Nações,,,Balneário Camboriú,750.0,200.0,950.0,0.0,0,0,0
254,Casa,Rua Síria,581,Nações,Balneário Camboriú,1450.0,,,0.0,0,0,0
255,Apartamento duplex,Rua Bruno Silva,135,Pioneiros,Balneário Camboriú,3170.0,,,300.0,4,2,3
256,Ap. vista,Rua 1926,236,Centro,Balneário Camboriú,3200.0,800.0,4000.0,135.0,3,2,2
257,Apartamento,Rua 2970,70,Centro,Balneário Camboriú,2500.0,,,249.0,3,4,4
258,Apartamento 3,Avenida Brasil,3551,Centro,Balneário Camboriú,4080.0,1554.0,5634.0,66.0,3,5,4
259,Terreno,Avenida Hermógenes de Assis Feijó,621,Barra,Balneário Camboriú,1450.0,,,0.0,0,0,0
260,Casa,Rua Agrolândia  Jardim Iate Clube,,,Balneário Camboriú,955.0,,,252.0,2,2,3
261,Apto bem,Rua Paraguai,1010,Centro,Balneário Camboriú,688.0,550.0,1238.0,0.0,0,0,0
262,Casa,Rua Suíça,0,Nações,Balneário Camboriú,870.0,,,261.0,3,1,1
263,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,1800.0,,,127.0,3,3,2
264,Apartamento no,Endereço não disponível  Centro,,,Balneário Camboriú,7500.0,2700.0,10200.0,290.0,4,5,1
265,Royal garden,Rua 3550,381,Centro,Balneário Camboriú,1248.0,,,0.0,0,0,0
266,Comercial para,Endereço não disponível  Centro,,,Balneário Camboriú,1900.0,,,0.0,0,0,0
267,Casa praia,Endereço não disponível  Praia dos Amores,,,Balneário Camboriú,2700.0,,,200.0,3,4,4
268,Apartamento,Rua Bruno Silva,51,Pioneiros,Balneário Camboriú,3650.0,,,146.0,4,5,3
269,Apartamento,Rua 1822,145,Centro,Balneário Camboriú,1800.0,850.0,2650.0,172.0,3,1,3
270,Apartamento para,Rua 3000,505,Centro,Balneário Camboriú,1800.0,,,105.0,3,1,2
271,Excelente apartamento,Rua 1201,493,Centro,Balneário Camboriú,3401.0,2000.0,5401.0,175.0,3,4,3
272,Apartamento,Rua 620  Centro,,,Balneário Camboriú,2600.0,750.0,3350.0,125.0,3,3,3
273,Excelente apartamento,Rua 1201,493,Centro,Balneário Camboriú,3151.0,2000.0,5151.0,173.0,4,5,3
274,Apartamento,Rua 2028,125,Centro,Balneário Camboriú,2240.0,1400.0,3640.0,143.0,4,4,2
275,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,2614.0,970.0,3584.0,133.0,3,4,2
276,Sobrado em,Endereço não disponível  Ariribá,,,Balneário Camboriú,750.0,,,80.0,2,1,1
277,Apartamento,Rua 1131  Centro,,,Balneário Camboriú,2900.0,,,158.0,3,2,2
278,Apartamento,Rua 2070,11,Centro,Balneário Camboriú,3675.0,,,167.0,4,1,3
279,Apartamento,Rua 2550  Centro,,,Balneário Camboriú,1200.0,600.0,1800.0,110.0,3,2,1
280,Apartamento amplo,Rua Miguel Matte,252,Pioneiros,Balneário Camboriú,1700.0,780.0,2480.0,119.0,3,3,2
281,Sobrado,Rua José Damásio Duarte  Barra,,,Balneário Camboriú,1290.0,,,170.0,2,1,1
282,Apartamento,Rua 990,283,Centro,Balneário Camboriú,800.0,600.0,1400.0,75.0,2,2,1
283,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,1800.0,990.0,2790.0,0.0,3,4,3
284,04 suítes,Avenida Atlântica - De 5021/5022 A 5552/5553,5720,Barra Sul,Balneário Camboriú,11000.0,,,238.0,4,4,4
285,Cobertura duplex,Endereço não disponível  Centro,,,Balneário Camboriú,5800.0,,,428.0,4,5,4
286,Apartamento,Rua 3700,425,Centro,Balneário Camboriú,4200.0,1546.0,5746.0,271.0,3,4,3
287,Apartamento,Rua 2000,1950,Centro,Balneário Camboriú,1400.0,927.0,2327.0,209.0,4,3,1
288,Apto -,Rua 57,16,Centro,Balneário Camboriú,5213.0,,,170.0,4,4,4
289,Chácara /,Rodovia BR-101,139,Nova Esperança,Balneário Camboriú,20000.0,,,0.0,0,0,0
290,Casa em,Endereço não disponível  Barra,,,Balneário Camboriú,1680.0,600.0,2280.0,0.0,0,0,0
291,Apartamento residencial,Avenida Santo Amaro,1810,São Francisco de Assis,Balneário Camboriú,800.0,,,78.0,2,1,1
292,Apartamento,Rua Isidoro Caetano,190,Pioneiros,Balneário Camboriú,2200.0,1500.0,3700.0,0.0,0,0,0
293,Apartamento,Rua 3130,112,Centro,Balneário Camboriú,2890.0,,,143.0,4,3,3
294,Apto 2,Rua Amara Pereira Corrêa,315,Barra,Balneário Camboriú,370.0,375.0,745.0,53.0,2,1,1
295,Apartamento,Rua 902,295,Centro,Balneário Camboriú,1690.0,700.0,2390.0,220.0,3,4,2
296,Apartamento próximo,Rua 3250,300,Centro,Balneário Camboriú,1100.0,480.0,1580.0,90.0,3,2,2
297,Apartamento vista,Endereço não disponível  Barra Norte,,,Balneário Camboriú,1000.0,1500.0,2500.0,120.0,2,1,1
298,Lindo sobrado,Rua Mário Quintana,150,Praia dos Amores,Balneário Camboriú,2250.0,,,200.0,3,3,1
299,Casa,Avenida Das Gaivotas Esquina Rua Inhambuguaçu  Ariribá,,,Balneário Camboriú,2200.0,,,0.0,0,0,0
300,Apartamento para,Avenida Alvin Bauer,250,Centro,Balneário Camboriú,2600.0,,,158.0,2,3,2
301,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,10500.0,3000.0,13500.0,375.0,4,6,4
302,Apartamento,Avenida Brasil,240,Centro,Balneário Camboriú,4509.0,,,284.0,4,4,3
303,Sobrado 3,Endereço não disponível  Barra,,,Balneário Camboriú,1400.0,,,144.0,3,3,1
304,Excelente ap,Rua 1111,120,Centro,Balneário Camboriú,1300.0,500.0,1800.0,114.0,3,2,1
305,Apartamento,Avenida Brasil,3605,Centro,Balneário Camboriú,3600.0,250.0,3850.0,193.0,3,2,2
306,Prédio,Rua 2050,279,Centro,Balneário Camboriú,,,,0.0,0,0,0
307,Apartamento,Rua 3450  Centro,,,Balneário Camboriú,2290.0,,,0.0,0,0,0
308,Apartamento,Rua Oscar Aparício Cardoso Da Silva  Barra,,,Balneário Camboriú,526.0,,,85.0,2,3,1
309,Apartamento para,Endereço não disponível  Pioneiros,,,Balneário Camboriú,15900.0,,,282.0,4,5,3
310,Sala comercial,Rua Julieta Lins,32,Pioneiros,Balneário Camboriú,1800.0,303.0,2103.0,114.0,1,2,2
311,Apartamento,Avenida Atlântica,4950,Centro,Balneário Camboriú,11100.0,,,196.0,3,5,3
312,Emicrei vende,Rua 1061  Centro,,,Balneário Camboriú,2500.0,750.0,3250.0,205.0,2,3,2
313,Apartamento,Rua 4400,101,Centro,Balneário Camboriú,2700.0,,,0.0,0,0,0
314,Excelente apartamento,Rua 1201,493,Centro,Balneário Camboriú,3759.0,2000.0,5759.0,173.0,4,5,3
315,Apartamento,Rua 3618,29,Centro,Balneário Camboriú,3650.0,,,0.0,0,0,0
316,3 suítes,Endereço não disponível  Ariribá,,,Balneário Camboriú,1300.0,,,157.0,3,3,2
317,Apartamento residencial,Endereço não disponível  Centro,,,Balneário Camboriú,5500.0,1874.0,7374.0,0.0,0,0,0
318,Cobertura mirante,Rua 3900,,Centro,Balneário Camboriú,8200.0,1117.0,9317.0,300.0,4,5,8
319,Apartamento garden,Rua 1800,97,Centro,Balneário Camboriú,6690.0,,,375.0,5,5,2
320,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,3800.0,,,179.0,3,5,2
321,Sala comercial,Endereço não disponível  Pioneiros,,,Balneário Camboriú,1927.0,,,0.0,0,0,0
322,Apartamento,Rua 4400,4400,Barra Sul,Balneário Camboriú,5999.0,0.0,5999.0,160.0,4,5,3
323,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,1750.0,,,127.0,3,3,3
324,Apartamento,Avenida Atlântica  Frente do Mar,,,Balneário Camboriú,14120.0,,,0.0,0,0,0
325,Apartamento,Rua 2000  Centro,,,Balneário Camboriú,2980.0,,,143.0,2,3,3
326,Apartamento nações,Endereço não disponível  Nações,,,Balneário Camboriú,620.0,200.0,820.0,80.0,2,1,1
327,Sala comercial,Avenida Central,541,Centro,Balneário Camboriú,13000.0,,,0.0,0,0,0
328,Via marina,Endereço não disponível  Barra Sul,,,Balneário Camboriú,4628.0,1000.0,5628.0,210.0,3,3,3
329,Apartamento,Avenida 3ª Avenida,100,Centro,Balneário Camboriú,1900.0,,,259.0,3,1,2
330,Apartamento diferenciado,Endereço não disponível  Centro,,,Balneário Camboriú,3210.0,,,458.0,4,5,2
331,Apartamento 3,Endereço não disponível  Centro,,,Balneário Camboriú,7000.0,3380.0,10380.0,650.0,3,6,2
332,Condomínio vila,Rua Aqueduto,325,Estados,Balneário Camboriú,8000.0,2000.0,10000.0,516.0,7,7,4
333,Apartamento,Avenida Brasil,240,Centro,Balneário Camboriú,6500.0,,,146.0,4,4,3
334,Apartamento,Rua 201,40,Centro,Balneário Camboriú,1150.0,,,99.0,2,2,1
335,Triplex av.,Avenida Atlântica,2100,Centro,Balneário Camboriú,3500.0,1800.0,5300.0,216.0,3,4,2
336,Yachthouse residence,Avenida Normando Tedesco,1000,Centro,Balneário Camboriú,14500.0,,,265.0,4,6,3
337,Apartamento alto,Avenida Brasil,3605,Centro,Balneário Camboriú,4390.0,1200.0,5590.0,138.0,3,3,2
338,Belíssimo duplex,Rua 1111  Centro,,,Balneário Camboriú,1290.0,700.0,1990.0,140.0,4,4,1
339,Apartamento para,Rua 3700  Centro,,,Balneário Camboriú,7750.0,,,240.0,3,5,4
340,"Camboriú, ed.",Avenida Santo Amaro,1810,São Francisco de Assis,Balneário Camboriú,648.0,0.0,648.0,75.0,2,3,3
341,Apartamento 4,Endereço não disponível  Centro,,,Balneário Camboriú,,1200.0,,137.0,4,3,4
342,Apartamento,Avenida Atlântica,4950,Centro,Balneário Camboriú,13500.0,,,212.0,4,4,4
343,Excelente apartamento,Rua 1201,493,Centro,Balneário Camboriú,3099.0,2000.0,5099.0,173.0,4,5,3
344,Apartamento 4,Rua 1451,1,Centro,Balneário Camboriú,3200.0,,,163.0,4,4,3
345,Terreno a,Rua Emanuel Rebelo dos Santos,438,Barra,Balneário Camboriú,900.0,,,0.0,0,0,0
346,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,3194.0,,,0.0,0,0,0
347,Apartamento,Endereço não disponível  Pioneiros,,,Balneário Camboriú,650.0,550.0,1200.0,58.0,1,1,1
348,Casa,Rua 3122  Centro,,,Balneário Camboriú,4990.0,,,470.0,6,7,6
349,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,2800.0,,,105.0,3,3,2
350,Residence florence,Rua 3160  Centro,,,Balneário Camboriú,2250.0,,,150.0,3,4,2
351,Apartamento,Rua 2950  Centro,,,Balneário Camboriú,3500.0,,,176.0,4,5,3
352,Apartamento,Rua 1822,145,Centro,Balneário Camboriú,1800.0,850.0,2650.0,136.0,3,1,3
353,Apartamento,Rua 1001  Centro,,,Balneário Camboriú,3000.0,,,130.0,3,4,3
354,Apartamento a,Rua 901  Centro,,,Balneário Camboriú,4000.0,2000.0,6000.0,0.0,0,0,0
355,Apartamento no,Rua Francisco Manoel de Souza,82,Pioneiros,Balneário Camboriú,2500.0,900.0,3400.0,136.0,4,4,2
356,Apartamento na,Avenida do Estado Dalmo Vieira,195,Praia dos Amores,Balneário Camboriú,861.0,,,0.0,2,2,1
357,Apartamento em,Rua 620,285,Centro,Balneário Camboriú,2220.0,670.0,2890.0,121.0,3,4,2
358,Casa,Endereço não disponível  Ariribá,,,Balneário Camboriú,1420.0,,,261.0,5,4,3
359,Lançamento: apartamento,Rua Marrocos,540,Nações,Balneário Camboriú,795.0,500.0,1295.0,58.0,2,2,1
360,Mont blanc,Rua Alvin Bauer,119,Centro,Balneário Camboriú,2450.0,,,132.0,3,2,2
361,Apartamento,Rua Síria,630,Nações,Balneário Camboriú,980.0,460.0,1440.0,72.0,2,3,2
362,Apartamento,Avenida Atlântica,2700,Centro,Balneário Camboriú,3300.0,850.0,4150.0,160.0,2,3,2
363,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,1400.0,508.0,1908.0,106.0,3,2,2
364,Residencial triplex,Rua João de Barro,84,Ariribá,Balneário Camboriú,1750.0,,,185.0,3,4,2
365,"Apartamentos, centro",Endereço não disponível  Centro,,,Balneário Camboriú,1800.0,,,0.0,0,0,0
366,Apartamento,Avenida Atlântica  Centro,,,Balneário Camboriú,13500.0,,,251.0,4,6,4
367,Apartamento alto,Rua 1931  Centro,,,Balneário Camboriú,1100.0,,,147.0,3,3,1
368,"Casa ,",Rua José de Alencar,174,Praia dos Amores,Balneário Camboriú,3300.0,,,440.0,4,4,4
369,Casa,Rua Anastácio José Pereira  Municípios,,,Balneário Camboriú,1499.0,,,245.0,3,3,2
370,Sua oportunidade,Rua 3750,75,Centro,Balneário Camboriú,917.0,,,0.0,0,0,0
371,Casa geminada,Rua Cruz E Souza,198,Praia dos Amores,Balneário Camboriú,2000.0,,,0.0,0,0,0
372,Apartamento todo,Rua 1911,100,Centro,Balneário Camboriú,900.0,450.0,1350.0,120.0,2,2,1
373,Oportunidade! casa,Endereço não disponível  Centro,,,Balneário Camboriú,1300.0,,,266.0,2,1,2
374,'espetacular apartamento,Avenida Atlântica  Centro,,,Balneário Camboriú,3280.0,1260.0,4540.0,126.0,3,4,4
375,Apartamento balneário,Endereço não disponível  Centro,,,Balneário Camboriú,2355.0,620.0,2975.0,97.0,3,2,3
376,Apartamento no,Avenida Atlântica,1620,Centro,Balneário Camboriú,2100.0,739.0,2839.0,120.0,3,3,1
377,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,560.0,320.0,880.0,65.0,2,1,1
378,Casa em,Rua Venezuela,85,Nações,Balneário Camboriú,800.0,,,252.0,3,1,5
379,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,1250.0,450.0,1700.0,0.0,0,0,0
380,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,3210.0,0.0,3210.0,384.0,4,4,3
381,Apartamento,Rua 4500,11,Centro,Balneário Camboriú,3400.0,,,179.0,3,4,3
382,Casa em,Endereço não disponível  Santa Regina,,,Balneário Camboriú,5970.0,,,0.0,0,0,0
383,Casa 3,Rua Ozória Maria Mafra,1589,Praia do Estaleiro,Balneário Camboriú,1500.0,,,180.0,3,3,2
384,Excelente apartamento,Rua 1201,493,Centro,Balneário Camboriú,3761.0,2000.0,5761.0,175.0,3,4,3
385,Apartamento em,Endereço não disponível  Centro,,,Balneário Camboriú,960.0,330.0,1290.0,112.0,3,2,1
386,Déposito para,Rua 1000,50,Centro,Balneário Camboriú,379.0,,,0.0,0,0,0
387,Cobertura para,Rua 2500,300,Centro,Balneário Camboriú,850.0,2000.0,2850.0,180.0,3,3,1
388,Finamente mobiliado,Rua 620,110,Centro,Balneário Camboriú,2564.0,,,0.0,0,0,0
389,Casa,Endereço não disponível  Praia do Estaleiro,,,Balneário Camboriú,2899.0,,,280.0,3,3,4
390,Apartamento,Avenida Brasil,3030,Centro,Balneário Camboriú,635.0,650.0,1285.0,37.0,1,1,1
391,Apt garden,Rua 3750,180,Centro,Balneário Camboriú,2800.0,1160.0,3960.0,187.0,3,4,2
392,Casa,Rua Aqueduto,325,Estados,Balneário Camboriú,6300.0,,,0.0,0,0,0
393,Apartamento,Rua 3000,218,Centro,Balneário Camboriú,2500.0,,,119.0,3,4,2
394,Terreno/ lote,Endereço não disponível  Nova Esperança,,,Balneário Camboriú,600.0,,,0.0,0,0,0
395,Casa/ sobrado,Rua Samuel Rocha,205,São Judas Tadeu,Balneário Camboriú,980.0,,,270.0,5,5,2
396,Apartamento térreo,Endereço não disponível  Praia dos Amores,,,Balneário Camboriú,1275.0,90.0,1365.0,80.0,2,3,2
397,Apartamento centro,Avenida Brasil  Centro,,,Balneário Camboriú,900.0,600.0,1500.0,85.0,2,2,1
398,Balneário camboriú,Rua Miguel Matte,834,Pioneiros,Balneário Camboriú,500.0,400.0,900.0,34.0,1,1,1
399,Apartamento a,Endereço não disponível  Centro,,,Balneário Camboriú,1995.0,680.0,2675.0,128.0,3,3,2
400,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,3100.0,970.0,4070.0,158.0,3,4,3
401,Casa/ sobrado,Rua Bruno Zabel,176,Barra,Balneário Camboriú,710.0,,,114.0,3,3,2
402,Apartamento frente,Avenida Atlântica,4104,Centro,Balneário Camboriú,3750.0,837.0,4587.0,120.0,4,3,3
403,Terreno/ lote,Endereço não disponível  Barra,,,Balneário Camboriú,600.0,,,0.0,0,0,0
404,Ponto comercial,Rua Isidoro Caetano,100,Pioneiros,Balneário Camboriú,480.0,,,0.0,0,0,0
405,Apartamento fg,Avenida Brasil,180,Centro,Balneário Camboriú,2650.0,670.0,3320.0,117.0,3,4,2
406,Apartamento,Avenida Brasil,2900,Centro,Balneário Camboriú,1390.0,350.0,1740.0,90.0,2,2,1
407,Ponto comercial,Endereço não disponível  Centro,,,Balneário Camboriú,1200.0,,,0.0,0,0,0
408,Apartamento 196,Rua 4100,97,Centro,Balneário Camboriú,1199.0,1627.0,2826.0,186.0,4,4,2
409,Cobertura,Rua 3144  Centro,,,Balneário Camboriú,3800.0,1500.0,5300.0,242.0,4,5,3
410,Apartamento,Rua 1001,380,Centro,Balneário Camboriú,780.0,,,65.0,2,1,1
411,Ponto comercial,Rua 1822,235,Centro,Balneário Camboriú,169.0,,,0.0,0,0,0
412,Apartamento em,Endereço não disponível  Centro,,,Balneário Camboriú,2300.0,1800.0,4100.0,130.0,3,4,3
413,Casa,Rua 3050,45,Centro,Balneário Camboriú,3500.0,,,0.0,0,0,0
414,Excelente oportunidade!,Rua 1500,582,Centro,Balneário Camboriú,1385.0,600.0,1985.0,138.0,3,3,2
415,Apartamento,Rua 3700,425,Centro,Balneário Camboriú,5900.0,1800.0,7700.0,182.0,3,4,3
416,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,2820000.0,1400.0,2821400.0,161.0,2,2,2
417,Apartamento,Rua 1542,16,Centro,Balneário Camboriú,2500.0,0.0,2500.0,136.0,4,4,4
418,Casa,Hercelina Vieira,151,Praia do Estaleiro,Balneário Camboriú,20000.0,,,0.0,4,5,4
419,Venda |,Rua João Francisco dos Santos,100,Pioneiros,Balneário Camboriú,3400.0,1500.0,4900.0,160.0,4,5,3
420,Lindo apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,3000.0,2000.0,5000.0,149.0,3,4,3
421,Apartamento,Rua 2028,125,Esquina Com A Rua 2000 Centro,Balneário Camboriú,2300.0,,,0.0,0,0,0
422,Apartamento,Rua 1950,645,Centro,Balneário Camboriú,1501.0,,,0.0,0,0,0
423,Millennium palace,Avenida Atlântica,2670,Centro,Balneário Camboriú,26600.0,1.0,26601.0,317.0,4,7,4
424,Apartamento,Atlantica,3925,Frente do Mar,Balneário Camboriú,7500.0,1700.0,9200.0,360.0,3,4,2
425,Casa,Endereço não disponível  Barra,,,Balneário Camboriú,1400.0,,,0.0,0,0,0
426,Terreno noruega,Rua Noruega,1044,Nações,Balneário Camboriú,750.0,,,0.0,0,0,0
427,Apartamento a,Endereço não disponível  Barra,,,Balneário Camboriú,690.0,,,111.0,2,2,1
428,Sobrado triplex,Endereço não disponível  Nações,,,Balneário Camboriú,1990.0,,,380.0,2,4,3
429,Condomínio ilhas,Rua 3100,855,Centro,Balneário Camboriú,530.0,,,54.0,2,1,1
430,Vista fantástica,Rua 3450  Centro,,,Balneário Camboriú,11000.0,0.0,11000.0,341.0,6,8,6
431,Sala comercial,Endereço não disponível  Nações,,,Balneário Camboriú,2000.0,,,0.0,0,0,0
432,Apartamento,Rua 3704,40,Centro,Balneário Camboriú,699.0,400.0,1099.0,96.0,2,1,1
433,Apartamento c/,Rua 1542  Centro,,,Balneário Camboriú,2200.0,,,136.0,4,5,4
434,Vendo apto,Endereço não disponível  Nova Esperança,,,Balneário Camboriú,295.0,250.0,545.0,54.0,2,1,1
435,Apartamento,Rua 3600  Centro,,,Balneário Camboriú,950.0,673.0,1623.0,85.0,2,2,1
436,Magnifica casa,Endereço não disponível  Centro,,,Balneário Camboriú,8900.0,,,753.0,5,6,5
437,Casa beira,Avenida Rodesindo Pavan,0,Itapema,Balneário Camboriú,7800.0,,,500.0,6,8,5
438,Barbada apartamento,Rua 201  Centro,,,Balneário Camboriú,920.0,500.0,1420.0,156.0,4,2,1
439,Belíssimo apartamento,Rua 1901  Centro,,,Balneário Camboriú,2500.0,900.0,3400.0,143.0,3,3,2
440,Casa,Avenida Hermógenes de Assis Feijó,621,Barra,Balneário Camboriú,5950.0,,,540.0,4,5,4
441,Apartamento,Endereço não disponível  Pioneiros,,,Balneário Camboriú,3551.0,,,146.0,4,5,3
442,Excelente casa,Endereço não disponível  Centro,,,Balneário Camboriú,2900.0,,,207.0,3,4,4
443,Apartamento,Avenida Brasil,169,Centro,Balneário Camboriú,2250.0,,,122.0,3,3,2
444,Casa,Avenida Hermógenes de Assis Feijó,1100,São Judas Tadeu,Balneário Camboriú,1650.0,,,142.0,3,1,2
445,Apartamento no,Rua 901,260,Centro,Balneário Camboriú,770.0,,,91.0,2,1,1
446,Casa,Rua 620,738,Centro,Balneário Camboriú,2200.0,,,0.0,0,0,0
447,Apartamento,Rua 901,150,Centro,Balneário Camboriú,1750.0,,,0.0,2,3,1
448,Apartamento,Endereço não disponível  Pioneiros,,,Balneário Camboriú,820.0,,,0.0,0,0,0
449,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,14015.0,,,313.0,4,6,4
450,Apartamento-1 quadra,Rua 1401,150,Centro,Balneário Camboriú,1090.0,900.0,1990.0,86.0,2,2,1
451,Yachthouse residence,Avenida Normando Tedesco,1000,Centro,Balneário Camboriú,8990.0,,,265.0,4,6,3
452,Cobertura a,Rua 901  Centro,,,Balneário Camboriú,11000.0,2000.0,13000.0,0.0,0,0,0
453,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,4990.0,,,0.0,0,0,0
454,Apartamento,Avenida Atlântica  Centro,,,Balneário Camboriú,13500.0,,,251.0,4,6,4
455,Amplo sobrado,Rua Mário Quintana,150,Praia dos Amores,Balneário Camboriú,2250.0,,,200.0,3,3,1
456,'viva o,Rua 3770  Centro,,,Balneário Camboriú,3400.0,1280.0,4680.0,139.0,3,4,3
457,Casa alto,Rua Ivo José Rebello,1,Santa Regina,Balneário Camboriú,4250.0,,,265.0,4,6,3
458,Apartamento no,Avenida Atlântica,740,Centro,Balneário Camboriú,2000.0,808.0,2808.0,138.0,2,4,1
459,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,1450.0,,,100.0,3,2,1
460,Casa/ sobrado,Rua Mário Quintana,150,Praia dos Amores,Balneário Camboriú,2250.0,,,400.0,3,4,1
461,Confortável apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,1200.0,,,0.0,0,0,0
462,Hamptons village,Rua 3700,415,Centro,Balneário Camboriú,3700.0,,,180.0,3,4,3
463,Apartamento,Rua 2000,125,Centro,Balneário Camboriú,5659.0,,,240.0,4,1,3
464,Apartamento 04,Rua Romeu Pereira,23,Pioneiros,Balneário Camboriú,6500.0,,,0.0,0,0,0
465,Apartamento,Avenida Atlântica,660,Centro,Balneário Camboriú,9000.0,0.0,9000.0,0.0,4,5,3
466,Ap 1,Endereço não disponível  Pioneiros,,,Balneário Camboriú,650.0,,,76.0,1,1,1
467,Ap 2,Endereço não disponível  Nova Esperança,,,Balneário Camboriú,350.0,270.0,620.0,70.0,2,1,1
468,Super central,Endereço não disponível  Centro,,,Balneário Camboriú,2600.0,,,158.0,3,3,2
469,Apartamento duplex,Rua Alvin Bauer,159,Centro,Balneário Camboriú,3781.0,,,222.0,5,6,4
470,Apartamento,Rua Caboclinho,,Ariribá,Balneário Camboriú,689.0,350.0,1039.0,65.0,2,2,1
471,Apartamento para,Endereço não disponível  Centro,,,Balneário Camboriú,5283.0,,,0.0,0,0,0
472,Apartamento hyde,Endereço não disponível  Centro,,,Balneário Camboriú,10655.0,,,232.0,5,5,5
473,Locação,Endereço não disponível  Praia do Estaleiro,,,Balneário Camboriú,8000.0,1450.0,9450.0,0.0,0,0,0
474,Apartamento 2,Endereço não disponível  Centro,,,Balneário Camboriú,1550.0,600.0,2150.0,115.0,2,2,2
475,Apartamento,Rua 3000,190,Centro,Balneário Camboriú,2300.0,,,0.0,0,0,0
476,Apartamento,Rua Antônio Athanázio Corrêa,65,Barra,Balneário Camboriú,625.0,,,100.0,2,2,1
477,Apartamento diferenciado,Endereço não disponível  Centro,,,Balneário Camboriú,1900.0,520.0,2420.0,160.0,3,1,1
478,Locação virada,Endereço não disponível  Centro,,,Balneário Camboriú,1800.0,,,102.0,3,3,1
479,Sala comercial,Avenida do Estado Dalmo Vieira  Pioneiros,,,Balneário Camboriú,700.0,415.0,1115.0,0.0,0,0,0
480,Sala /,R 3110 Es 3140  Centro,,,Balneário Camboriú,570.0,,,122.0,1,2,1
481,Frente mar,Endereço não disponível  Centro,,,Balneário Camboriú,14895.0,,,465.0,4,5,5
482,Apartamento,Rua Peru,155,Nações,Balneário Camboriú,785.0,,,61.0,2,2,1
483,Apartamento,Rua Julieta Lins,349,Pioneiros,Balneário Camboriú,1500.0,450.0,1950.0,99.0,3,2,1
484,Bonne vie,Endereço não disponível  Centro,,,Balneário Camboriú,2180.0,,,195.0,3,4,2
485,Apartamento no,Endereço não disponível  Centro,,,Balneário Camboriú,2222.0,,,257.0,3,4,2
486,Apartamento,Endereço não disponível  Centro,,,Balneário Camboriú,690.0,,,69.0,2,1,2
487,Prédio,Arthur Max Doose,183,Centro,Balneário Camboriú,,,,0.0,0,0,0
488,Casa na,Endereço não disponível  Praia dos Amores,,,Balneário Camboriú,4200.0,,,348.0,3,4,4
489,Edifício barcelona,Endereço não disponível  Centro,,,Balneário Camboriú,2355.0,620.0,2975.0,97.0,3,2,3
490,Sobrado,Endereço não disponível  Ariribá,,,Balneário Camboriú,950.0,,,185.0,3,3,4
491,Apto 1,Endereço não disponível  Centro,,,Balneário Camboriú,480.0,,,36.0,1,1,1
492,Apartamento mobiliado,Rua 3618,116,Centro,Balneário Camboriú,2800.0,90.0,2890.0,105.0,3,4,2
493,Apartamento,Rua 1950,606,Centro,Balneário Camboriú,1600.0,500.0,2100.0,97.0,2,2,2
494,Apartamento mobiliado,Rua 1141  Centro,,,Balneário Camboriú,3950.0,,,132.0,4,3,3
495,Apartamento para,Rua 3610,14,Centro,Balneário Camboriú,2900.0,,,131.0,3,4,2
496,Frente mar,Endereço não disponível  Centro,,,Balneário Camboriú,15245.0,,,465.0,4,5,5
497,Apartamento,Rua Bibiano dos Santos,345,Pioneiros,Balneário Camboriú,2350.0,,,137.0,4,5,3
498,Apartamento 3,Rua 3310  Centro,,,Balneário Camboriú,2200.0,,,130.0,3,4,2
499,Prédio,1901.0,262,Centro,Balneário Camboriú,,,,0.0,0,0,0
500,Apartamento mobiliado,Rua 2050  Centro,,,Balneário Camboriú,1190.0,800.0,1990.0,89.0,2,2,1
501,Apartamento para,Endereço não disponível  Nações,,,Balneário Camboriú,795.0,,,73.0,2,2,1
502,Apartamento,Avenida Atlântica  Frente do Mar,,,Balneário Camboriú,14860.0,,,0.0,0,0,0
503,Sobrado c/,Endereço não disponível  Barra,,,Balneário Camboriú,2950.0,630.0,3580.0,220.0,3,4,2
504,Apartamento,Rua Julieta Lins,32,Pioneiros,Balneário Camboriú,10000.0,1500.0,11500.0,165.0,3,4,3
